Date,Open,High,Low,Close,Adj Close,Volume
1/2/1980,14.34,14.34,14.34,14.34,5.018803,0
1/3/1980,14.27,14.27,14.27,14.27,4.994308,0
1/4/1980,14.45,14.45,14.45,14.45,5.057302,0
1/7/1980,14.49,14.49,14.49,14.49,5.071302,0
1/8/1980,14.78,14.78,14.78,14.78,5.172798,0
1/9/1980,14.8,14.8,14.8,14.8,5.179797,0
1/10/1980,14.91,14.91,14.91,14.91,5.218294,0
1/11/1980,14.91,14.91,14.91,14.91,5.218294,0
1/14/1980,14.98,14.98,14.98,14.98,5.242796,0
1/15/1980,15.08,15.08,15.08,15.08,5.277794,0
1/16/1980,15.07,15.07,15.07,15.07,5.274296,0
1/17/1980,15.02,15.02,15.02,15.02,5.256796,0
1/18/1980,15.07,15.07,15.07,15.07,5.274296,0
1/21/1980,15.21,15.21,15.21,15.21,5.323292,0
1/22/1980,15.14,15.14,15.14,15.14,5.298792,0
1/23/1980,15.4,15.4,15.4,15.4,5.389791,0
1/24/1980,15.43,15.43,15.43,15.43,5.400287,0
1/25/1980,15.42,15.42,15.42,15.42,5.396792,0
1/28/1980,15.6,15.6,15.6,15.6,5.459787,0
1/29/1980,15.49,15.49,15.49,15.49,5.42129,0
1/30/1980,15.65,15.65,15.65,15.65,5.477288,0
1/31/1980,15.51,15.51,15.51,15.51,5.428288,0
2/1/1980,15.65,15.65,15.65,15.65,5.477288,0
2/4/1980,15.57,15.57,15.57,15.57,5.449289,0
2/5/1980,15.62,15.62,15.62,15.62,5.466787,0
2/6/1980,15.77,15.77,15.77,15.77,5.519285,0
2/7/1980,15.85,15.85,15.85,15.85,5.547283,0
2/8/1980,16.09,16.09,16.09,16.09,5.631282,0
2/11/1980,15.98,15.98,15.98,15.98,5.592783,0
2/12/1980,16.08,16.08,16.08,16.08,5.62778,0
2/13/1980,16.16,16.16,16.16,16.16,5.655781,0
2/14/1980,15.93,15.93,15.93,15.93,5.575284,0
2/15/1980,15.76,15.76,15.76,15.76,5.515781,0
2/19/1980,15.65,15.65,15.65,15.65,5.477288,0
2/20/1980,15.91,15.91,15.91,15.91,5.568283,0
2/21/1980,15.75,15.75,15.75,15.75,5.512285,0
2/22/1980,15.71,15.71,15.71,15.71,5.498284,0
2/25/1980,15.51,15.51,15.51,15.51,5.428288,0
2/26/1980,15.6,15.6,15.6,15.6,5.459787,0
2/27/1980,15.39,15.39,15.39,15.39,5.38629,0
2/28/1980,15.38,15.38,15.38,15.38,5.382791,0
2/29/1980,15.57,15.57,15.57,15.57,5.449289,0
3/3/1980,15.41,15.41,15.41,15.41,5.393287,0
3/4/1980,15.46,15.46,15.46,15.46,5.410792,0
